Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дейсун,Адам,,Чоловік,1988-12-19,Гірничий інженер,село Чоп,"проспект Пересипська 10-та, буд. 28 кв. 3, Тульчин, 50827",+380 34 707-31-55,vokhrimenko@example.net
Ємець,Венедикт,,Чоловік,2002-04-13,Літературознавець,хутір Алушта,"площа Лютневий 1-й, буд. 746, Острог, 10658",331-65-09,avhustyn91@example.net
Гуцуляк,Макар,,Чоловік,2005-09-10,Пілот,хутір Саки ,"проспект Агрономічна, буд. 602, Амвросіївка, 39985",+380 92 296 97 97,mykhailo39@example.com
Яковенко,Кирило,,Чоловік,1998-12-24,Ґрунтознавець,селище Старокостянтинів,"сквер Васнецова, буд. 9 кв. 94, Феодосія, 56168",915 19 59,havryletslukian@example.net
Ватаманюк,Володимир,,Чоловік,1968-05-28,Пекар,місто Кобеляки,"набережна Наявний 3-й, буд. 27 кв. 782, Алчевськ, 23476",247 27 66,panas36@example.org
Заїка,Орест,,Чоловік,1948-08-14,Драматург,селище Керч,"провулок Жоліо-Кюрі, буд. 513 кв. 4, Алмазна, 67874",+380 (79) 679-31-24,les17@example.net
Литвиненко,Василь,,Чоловік,1984-09-10,Гицель,селище Стрий,"сквер Проїзний 1-й, буд. 531 кв. 255, Чорнобиль, 47765",047 776-86-06,frantsfartushniak@example.net
Ємельяненко,Аарон,,Чоловік,1980-07-20,Економіст,місто Великі Мости,"площа Долинська, буд. 935 кв. 9, Каховка, 46239",+380 63 253 49 76,jvasylenko@example.com
Баранець,Семен,,Чоловік,2001-07-21,Гірничий інженер,хутір Боково-Хрустальне,"площа Слави, буд. 9, Первомайський , 19276",086 821-48-63,okseniia72@example.org
Сагаль,Устим,,Чоловік,1992-07-20,Маркетолог,село Старокостянтинів,"провулок Творча, буд. 1 кв. 6, Ківерці, 22800",+380 24 411 96 01,nazar86@example.com
Зайченко,Антон,,Чоловік,1952-06-29,Хімік,хутір Географія Вільнянська,"вулиця Сонячна, буд. 2, Сулимівка (Слов'янськ), 64209",+380 30 529-85-45,haidamarusia@example.net
Гаврюшенко,Альберт,,Чоловік,1976-01-18,Електромонтер,село Болехів,"провулок Прохоровська, буд. 897 кв. 9, Сватове, 65927",006 068 76 80,oksanashtepa@example.com
Олійник,Владислав,,Чоловік,1997-08-12,Електротехнік,селище Дубровиця,"шосе Байдарочний, буд. 754, Христинівка, 36436",038 976 44 44,danylo25@example.org
Засядько,Левко,,Чоловік,1971-06-17,Журналіст,місто Токмак,"сквер Гранатна, буд. 7 кв. 8, Вуглегірськ, 33565",042 347-46-70,symonhavryliv@example.com
Христенко,Франц,,Чоловік,1987-01-23,Кінорежисер,місто Глиняни,"площа Макарова, буд. 988 кв. 413, Ніжин, 24989",+380 (31) 770-34-65,leopold02@example.com
Гук,Хома,,Чоловік,1985-04-06,Хімік,хутір Київ,"сквер Садовий, буд. 526, Камінь-Каширський, 31913",+380 61 399-48-64,izhakevychviacheslav@example.net
Євтушенко,Миколай,,Чоловік,1968-01-27,Парфюмер,село Костопіль,"парк Дністровська, буд. 4 кв. 86, Гайсин, 36184",454-76-94,ada98@example.com
Вдовенко,Климент,,Чоловік,1974-05-11,Дерун,хутір Жданівка,"проспект Лінія 28-ма, буд. 50, Хорол , 03535",988-74-75,liubovdatsiuk@example.com
Ярош,Алевтин,,Чоловік,1969-05-11,Мінералог,село Курахове,"сквер Шкільний аеродром, буд. 179, Хрустальний, 34204",332 84 83,averchenkoboryslav@example.org
Баклан,Георгій,,Чоловік,1986-08-11,Вчитель,місто Ізмаїл,"шосе Вапняне селище, буд. 030, Ніжин, 30888",+380 (14) 407-79-57,okhrimenkodaryna@example.com
Полтавець,Зиновій,,Чоловік,1971-09-16,Каскадер,місто Приморськ (Україна),"узвіз Дев’ята, буд. 21 кв. 17, Бар, 45380",+380 92 002-01-51,batiheduard@example.org
Баранник,Іван,,Чоловік,1978-08-30,Юрист,село Каховка,"шосе Слєпньова, буд. 606, Святогірськ, 83231",752-53-62,cshvachko@example.org
Гузь,Адам,,Чоловік,1990-02-14,Різноробочий,село Ворожба,"вулиця Чорноморський 5-й, буд. 2, Новодружеськ, 17219",+380 53 639-19-35,mykytaartymyshyn@example.org
Вакуленко,Семен,,Чоловік,2006-09-11,Ріелтор,село Алупка,"парк Слави, буд. 49, Ірпінь, 83537",032 603 43 71,pavlomakarenko@example.com
Дергач,Гордій,,Чоловік,1994-04-24,Машиніст,село Біляївка,"проспект Ф. Пішеніна, буд. 1 кв. 1, Болград, 18957",+380 62 257 21 21,pvanchenko@example.org
Гречаник,Феофан,,Чоловік,1992-11-24,Диригент,місто Винники,"набережна Лип Івана та Юрія, буд. 31 кв. 3, Городок, 78787",334-74-70,jshchyrytsia@example.com
Непорожній,Амвросій,,Чоловік,1954-03-13,Паралегал,місто Болехів,"сквер Шишкіна 3-й, буд. 009 кв. 8, Алупка, 06777",+380 (82) 215-41-98,svertyporokh@example.net
Чуприна,Данило,,Чоловік,1986-06-19,Каскадер,хутір Жданівка,"набережна Гоголя, буд. 709 кв. 128, Енергодар, 03532",078 268-45-58,maksymmishchenko@example.net
Рябець,Валерій,,Чоловік,1975-09-01,Музикознавець,селище Вінниця,"вулиця Романтичний, буд. 563, Святогірськ, 34815",+380 86 445-54-16,feofaniaremenko@example.com
Дерегус,Альберт,,Чоловік,1958-07-01,Єгер,село Радомишль,"шосе Суворовська, буд. 2 кв. 773, Біляївка, 50077",+380 28 044-23-07,nadiiaartymovych@example.net
Данькевич,Варфоломій,,Чоловік,1947-11-23,Фармацевт,місто Гребінка,"сквер Західний 2-й, буд. 83 кв. 9, Костянтинівка, 73295",+380 39 851-93-94,khudobiakstepan@example.com
Байдак,Вадим,,Чоловік,1961-05-10,Історик,місто Звенигородка,"проспект Рибальська балка, буд. 3 кв. 8, Карлівка, 59397",+380 (12) 799-17-16,eduardkaras@example.net
Проценко,Левко,,Чоловік,1971-11-06,Прокурор,хутір Заводське,"узвіз Деревообробний 1-й, буд. 9, Попасна, 28717",301 50 65,ostap01@example.net
Архипенко,Лукʼян,,Чоловік,1990-12-15,Мірошник,місто Подільськ,"узвіз Радісна, буд. 94 кв. 30, Берегове, 15853",852 83 29,valerii48@example.net
Венгринович,Омелян,,Чоловік,1953-09-11,Локсмайстер,хутір Звенигородка,"площа Балтський 4-й, буд. 796 кв. 21, Миколаїв, 02931",892-13-29,pavlo96@example.com
Стець,Юхим,,Чоловік,1989-02-16,Співак,село Авдіївка,"провулок Політкаторжан, буд. 0, Чернівці, 93164",+380 21 399 16 45,martynovsiienko@example.com
Дашкевич,Федір,,Чоловік,1949-08-31,Мовознавець,хутір Залізне,"площа Литовська, буд. 0 кв. 24, Першотравенськ, 76406",032 325-98-73,nstets@example.com
Абрамчук,Олег,,Чоловік,1987-10-28,Археолог,село Васильків,"провулок Глазунова 1-й, буд. 8, Ватутіне, 17884",083 079 94 86,amaliia36@example.net
Туркало,Артем,,Чоловік,1972-11-15,Шериф,місто Тальне,"проспект Крутоярська, буд. 591 кв. 256, Ялта, 82695",420 26 86,iaroslavkabaliuk@example.com
Корбут,Григорій,,Чоловік,1971-10-27,Електрик,місто Сміла,"парк Гвоздичний, буд. 604 кв. 295, Хотин, 61173",+380 67 471-65-55,iarynarudko@example.org
Затула,Степан,,Чоловік,1999-05-26,Юрист,селище Благовіщенське,"проспект Дунаєвського 1-й, буд. 2 кв. 62, Монастирище, 11313",026 214-64-76,qchumachenko@example.net
Макаренко,Павло,,Чоловік,1994-08-18,Флорист,селище Первомайськ,"парк Макова, буд. 49 кв. 33, Бровари, 07542",137 94 24,borysruban@example.net
Чубай,Мирон,,Чоловік,1969-07-21,Ветеринар,місто Ужгород,"площа Магнітогорський 3-й, буд. 346 кв. 5, Привілля, 85042",+380 25 469-74-02,gzubko@example.com
Свистун,Аарон,,Чоловік,1970-10-04,Складальник,село Великі Мости,"площа Світлий, буд. 4, Чигирин, 64988",926-17-22,korolenkopetro@example.com
Андрійчук,Микита,,Чоловік,1959-06-15,Журналіст,село Ровеньки,"узвіз Нафтовиків 1-й, буд. 428, Лебедин, 09977",+380 10 677-19-03,evdovychenko@example.net
Євдокименко,Євген,,Чоловік,1978-07-03,Астронавт,село Білгород-Дністровський,"узвіз Немировича-Данченка, буд. 3, Чорноморськ, 15163",+380 74 962 25 09,veniiamyn44@example.org
Гаврилець,Антон,,Чоловік,2005-06-15,Паралегал,село Чугуїв,"провулок Чернігівський, буд. 71 кв. 351, Христинівка, 93105",+380 46 737 71 70,telizhenkomaksym@example.net
Данилюк,Леон,,Чоловік,1985-07-12,Фізик,селище Ворожба,"шосе Єлисаветградський, буд. 44 кв. 27, Заставна, 58899",+380 (70) 871-13-71,klavdiiachalenko@example.org
Ісаєвич,Варфоломій,,Чоловік,1992-08-02,Ріелтор,хутір Бровари,"площа Чапаєва 2-й, буд. 525, Кам'янка-Дніпровська, 53658",096 800 04 55,tymofiitsymbaliuk@example.org
Семенченко,Микита,,Чоловік,1967-06-12,Каскадер,село Новий Буг,"узвіз Лінія 54-та, буд. 91 кв. 653, Новоазовськ, 14303",+380 32 206-97-65,davydbaidak@example.net
Андрієвич,Василь,,Чоловік,2000-02-21,Мінералог,хутір Моспине,"провулок Новобазарний, буд. 8, Керч, 83152",028 983 90 20,qandrusenko@example.net
Корпанюк,Степан,,Чоловік,1998-06-29,Адвокат,хутір Ананьїв,"вулиця Середньофонтанський, буд. 6, Балта, 89840",274 23 52,rozaliia63@example.com
Ляшко,Ігнат,,Чоловік,1988-01-13,Краєзнавець,селище Андрушівка,"сквер Марії Демченко 2-й, буд. 41, Пирятин, 13139",+380 82 381-03-72,eduardskopenko@example.net
Килимник,Болеслав,,Чоловік,1971-05-22,Хімік,хутір Біла Церква,"площа Амбулаторний, буд. 60 кв. 865, Чигирин, 61220",059 934 54 16,ostap68@example.org
Доценко,Ярема,,Чоловік,1975-04-30,Машиніст,місто Дунаївці,"набережна Березовий, буд. 7, Докучаєвськ, 52901",062 562-96-94,iukhym50@example.org
Башполченко,Федір,,Чоловік,1977-12-31,Антрополог,село Дрогобич,"площа Богдана Хмельницького, буд. 45 кв. 710, Прип'ять , 51531",+380 34 423 61 85,pgoliash@example.org
Павлик,Павло,,Чоловік,1951-10-29,Пекар,місто Коростишів,"сквер Висоцького, буд. 657, Борзна, 79421",989-57-18,anton54@example.net
Ковалюк,Нестор,,Чоловік,1956-08-30,Медик,місто Березівка,"шосе Перша, буд. 421, Васильків, 19674",408 86 50,hennadii81@example.com
Гриценко,Трохим,,Чоловік,1994-01-16,Фармацевт,селище Географія Вільнянська,"набережна Трудовий, буд. 95 кв. 81, Путивль, 12440",191-21-30,hennadiitymchuk@example.com
Вітрук,Олекса,,Чоловік,1998-10-21,Реабілітолог,хутір Судова Вишня,"провулок Дежньова, буд. 17, Рава-Руська, 68041",049 380-05-42,fesenkoorysia@example.net
Євдокименко,Вʼячеслав,,Чоловік,1951-01-06,Клавішник,село Боково-Хрустальне,"узвіз Книжковий, буд. 0, Березне, 07905",+380 11 300 14 89,havrylivieva@example.org
Таран,Лукʼян,,Чоловік,2003-03-11,Актор,селище Хмельницький,"узвіз Іванова, буд. 69 кв. 5, Сніжне, 51098",+380 81 454 98 76,kamilla44@example.net
Пушкар,Єлисей,,Чоловік,2002-07-23,Адвокат,село Бурштин ,"узвіз Сільська, буд. 5, Брянка, 07501",+380 33 751-21-34,eavramchuk@example.net
Аверченко,Зорян,,Чоловік,1998-10-11,Електрик,місто Бердичів,"вулиця Одарія, буд. 49 кв. 6, Гайворон, 34324",+380 53 484 46 59,dkabaliuk@example.org
Алексюк,Юстим,,Чоловік,2004-01-24,Доцент,селище Новий Калинів,"набережна Проточний, буд. 3 кв. 43, Нова Каховка, 41732",031 598-01-44,danylenkoeduard@example.net
Охримович,Орхип,,Чоловік,1997-03-03,Стиліст,хутір Миколаївка ,"вулиця Виноградний тупик, буд. 467, Стебник, 69133",+380 70 557 61 73,iustym81@example.net
Тесля,Кирило,,Чоловік,1998-04-14,Педагог,місто Перемишляни,"вулиця Тополина, буд. 3 кв. 114, Камінь-Каширський, 40837",+380 (48) 846-38-03,vasylyna33@example.org
Бабенко,Франц,,Чоловік,2002-09-30,Економіст,селище Львів,"шосе Світлий, буд. 445 кв. 0, Тетіїв, 31010",662 53 62,khrystynaneporozhnii@example.com
Ющенко,Арсен,,Чоловік,1998-10-25,Дизайнер,місто Червоносів,"площа Тимірязєва, буд. 6 кв. 0, Оріхів, 32321",064 865 40 88,milenarubets@example.com
Артим,Спас,,Чоловік,1992-05-16,Програміст,хутір Винники,"узвіз Виноградна 3-тя, буд. 3 кв. 1, Приморськ (Україна), 31143",647-36-35,erikashukhevych@example.net
Щорс,Онисим,,Чоловік,1958-10-03,Сценарист,хутір Чугуїв,"узвіз 12-та ст. Великого Фонтану пляж, буд. 91 кв. 8, Яремче, 90218",+380 (33) 132-29-12,ttychyna@example.com
Їжак,Леонід,,Чоловік,1976-08-09,Візажист,місто Славута,"провулок Грибоєдова, буд. 8 кв. 818, Вуглегірськ, 28043",049 05 60,mykhailooberemko@example.net
Бездітко,Костянтин,,Чоловік,2000-06-09,Провізор,хутір Глухів,"парк Гвоздична, буд. 67, Суходільськ, 15058",+380 05 422-97-07,bvenhrynovych@example.com
Яремко,Вʼячеслав,,Чоловік,1974-10-13,М'ясник,хутір Вознесенівка,"вулиця Нафтовиків 1-й, буд. 289 кв. 2, Вашківці, 30779",393 56 48,udovychenkoroman@example.org
Заруба,Амвросій,,Чоловік,1959-09-20,Реабілітолог,село Бердичів,"сквер Скляний 1-й, буд. 0 кв. 195, Святогірськ, 54196",+380 57 704-90-73,derkachdanna@example.net
Філіпенко,Дмитро,,Чоловік,1965-09-28,Астрофізик,селище Миргород,"сквер Миколи Огренича, буд. 992, Зміїв, 69457",+380 77 049 33 84,feofanpushkar@example.net
Копитко,Іван,,Чоловік,1961-06-19,Перекладач,місто Дунаївці,"парк Чапаєва, буд. 394 кв. 7, Миколаїв, 14702",+380 88 677 38 27,trokhym36@example.net
Шведченко,Леонід,,Чоловік,1978-09-10,Географ,селище Умань,"узвіз Генуезька, буд. 957, Дубровиця, 61450",276-70-07,kozachenkomarko@example.com
Жайворон,Василь,,Чоловік,1966-03-12,Детектив,місто Острог,"парк Амурський 2-й, буд. 0 кв. 7, Ватутіне, 22276",852-38-53,kashchenkoeduard@example.net
Хорішко,Єлисей,,Чоловік,1979-07-28,Редактор,село Красноград,"вулиця Приморський, буд. 72, Деражня, 63944",025 229-63-12,khomykvarfolomii@example.net
Цюцюра,Степан,,Чоловік,1956-01-20,Конструктор,хутір Амвросіївка,"шосе Карантинна, буд. 696 кв. 7, Тростянець, 72200",+380 (42) 165-31-62,bohdankhrystych@example.net
Кащенко,Артем,,Чоловік,1955-10-25,Дипломат,селище Вишневе ,"площа Плієва, буд. 78, Мирноград, 30468",004 810 99 90,iustynaiurchyshyn@example.org
Мазепа,Гордій,,Чоловік,1963-03-31,Провізор,місто Чорноморськ,"сквер Дунаєвського 3-й, буд. 54 кв. 9, Червоносів, 01114",411 00 10,volodymyrariabchenko@example.com
Шахрай,Борислав,,Чоловік,1955-06-21,Науковець,село Бахмач,"вулиця 1-ша Суворовська, буд. 1, Новомиргород, 73750",384-26-73,violettasatsiuk@example.net
Демʼяненко,Микита,,Чоловік,2008-03-16,Бібліограф,місто Глиняни,"парк Жуковського, буд. 89, Ладижин, 42335",006 443 34 26,bohdannadavymuka@example.com
Сич,Мирон,,Чоловік,1985-07-30,Публіцист,місто Золоте,"провулок Андрійця Олега, буд. 54, Миргород, 87106",+380 22 807-99-31,hryhoriihupalo@example.net
Носенко,Давид,,Чоловік,1976-11-23,Підприємець,хутір Дергачі,"узвіз Лінія 53-тя, буд. 6, Ржищів, 74502",079-88-53,anton09@example.org
Гук,Богодар,,Чоловік,2005-09-19,Математик,місто Заводське,"провулок Композитора Глинки, буд. 493, Каховка, 02167",+380 11 531 20 35,fedir74@example.net
Деркач,Роман,,Чоловік,1999-11-13,Вчитель,місто Борщів,"шосе Деволанівський узвіз, буд. 8 кв. 8, Географія Вільнянська, 05258",+380 47 198-38-61,ivasiukvira@example.com
Савенко,Святослав,,Чоловік,1965-05-14,Нотаріус,місто Славута,"шосе Матеріальний 1-й, буд. 9, Гайворон, 68412",+380 84 689-41-81,iakiv29@example.net
Гречаник,Вʼячеслав,,Чоловік,1969-05-18,М'ясник,хутір Інкерман,"парк Володимира Хавкіна, буд. 849, Українськ, 91971",+380 66 711-92-38,ffranchuk@example.net
Данильчук,Вадим,,Чоловік,1964-08-25,Кінолог,селище Черкаси,"вулиця Шахтинський, буд. 9 кв. 919, Боярка, 79400",115 14 32,msimashkevych@example.org
Худяк,Герман,,Чоловік,1990-03-05,Няня,місто Судова Вишня,"вулиця 1-ша Лінія Марії Демченко, буд. 165, Перещепине, 45894",+380 (95) 937-86-22,arkadii87@example.net
Сірко,Олег,,Чоловік,1958-06-02,Промисловець,селище Запоріжжя,"проспект Агрономічна, буд. 86, Тисмениця, 21451",+380 75 720 38 47,dmytrokorzh@example.net
Оберемко,Онисим,,Чоловік,2001-06-14,Медик,селище Чернівці,"провулок Успенський, буд. 5 кв. 7, Збараж, 37549",075 541-20-83,zasiadkokostiantyn@example.com
Гук,Франц,,Чоловік,2008-09-19,Письменник,місто Перечин,"набережна Задніпровського, буд. 49 кв. 5, Новий Буг, 94162",+380 11 537 40 90,vysochandan@example.org
Носаченко,Данило,,Чоловік,1974-01-05,Фізик,хутір Монастирище,"проспект Ромашкова, буд. 235, Довжанськ, 97047",+380 65 106-31-10,viacheslavmamchur@example.net
Цюцюра,Микита,,Чоловік,2001-02-04,Сантехнік,селище Українськ,"набережна Академіка Векслера, буд. 8 кв. 0, Конотоп, 50782",+380 93 707-47-54,semen39@example.com
Штокало,Охрім,,Чоловік,1983-06-14,Випробувач,селище Географія Вільнянська,"площа 21-й км Старокиївської дороги, буд. 23 кв. 666, Вашківці, 59876",+380 (48) 971-94-87,vasyl59@example.com
Непорожній,Ярема,,Чоловік,1977-05-10,Професор,місто Полонне,"проспект Проектний 5-й, буд. 01, Вовчанськ, 25198",382 49 01,demyd69@example.com
Щербак,Прохір,,Чоловік,1977-08-20,Стропальник,хутір Сміла,"вулиця Пересипський міст, буд. 4, Рудки, 76826",091 61 31,iustymkorbut@example.org
Рябошапка,Демʼян,,Чоловік,1967-05-10,Стиліст,місто Богуслав,"площа Станційна 2-га, буд. 48, Сокиряни, 72684",+380 55 312-80-99,hlibdemydenko@example.com
Штокало,Леопольд,,Чоловік,1970-03-27,Ювелір,село Вишгород,"вулиця Санітарна, буд. 29, Кам'янка-Дніпровська, 05682",652-22-98,artem43@example.net
Артюшенко,Леон,,Чоловік,1987-10-07,Антрополог,селище Суми,"сквер Мостовий, буд. 5 кв. 40, Ковель, 37603",+380 56 475 88 73,iovsiienko@example.org
Асаула,Тарас,,Чоловік,2003-06-05,Дипломат,хутір Шаргород,"сквер Одеса-Головна, буд. 434 кв. 36, Хорол , 74853",037 523-77-96,dantelychenko@example.com
Устенко,Гордій,,Чоловік,1974-08-15,Кіноактор,місто Золотоноша,"проспект Старопортофранківська, буд. 812, Великі Мости, 23481",062 545 99 07,shtokalooleksandr@example.net
Товстуха,Едуард,,Чоловік,1999-04-18,Шериф,селище Костопіль,"площа Політкаторжан, буд. 58, Енергодар, 16643",537 40 10,xsavenko@example.com
Цибуленко,Опанас,,Чоловік,1963-02-03,Антрополог,село Суходільськ,"шосе Балтський 6-й, буд. 7, Попасна, 66488",203 77 23,xtytarenko@example.com
Бараник,Спас,,Чоловік,2004-03-14,Кіноактор,місто Мукачево,"провулок Об'їзна дорога, буд. 0, Корюківка, 70017",044 169-42-60,qvashchenko@example.org
Вергун,Артем,,Чоловік,1994-01-04,Дантист,хутір Немирів,"площа Тепличний 2-й, буд. 9, Гуляйполе, 70809",+380 89 785-28-74,danchukpanas@example.com
Ґерус,Леонід,,Чоловік,2006-02-07,Лікар,село Прип'ять ,"площа 7-ма Лінія Дачі Ковалевського, буд. 74 кв. 78, Привілля, 84529",350-30-11,alla83@example.org
Охримович,Феофан,,Чоловік,1982-10-06,Конструктор,хутір Донецьк,"узвіз Донцова Дмитра, буд. 246 кв. 190, Буськ, 43337",458 24 65,andriievychboryslav@example.org
Микитюк,Лесь,,Чоловік,2007-11-02,Льотчик,село Довжанськ,"сквер Космонавта Комарова, буд. 4, Вилкове, 77857",792 59 64,hordiisyrotenko@example.com
Петлюра,Семен,,Чоловік,1983-02-24,Фізик,хутір Белз,"узвіз Героїв Крут, буд. 691 кв. 304, Семенівка, 05809",035 899-91-32,xiushchenko@example.org
Затула,Костянтин,,Чоловік,1968-12-25,Державний службовець,селище Горлівка,"узвіз Мусіна, буд. 18 кв. 81, Пустомити, 85598",137-86-17,violetta89@example.com
Артюх,Сергій,,Чоловік,1959-12-24,Мистецтвознавець,село Первомайськ,"шосе Французький, буд. 17, Красноперекопськ, 96384",267 92 68,bohdandanyliuk@example.com
Вдовенко,Мирослав,,Чоловік,1963-12-15,Кінорежисер,місто Мар'їнка,"парк Леха Качинського, буд. 527 кв. 629, Харцизьк, 28734",+380 77 402 24 12,martyn43@example.org
Верес,Азар,,Чоловік,1979-08-18,Математик,селище Армянськ,"площа Садова 4-та, буд. 16 кв. 0, Почаїв, 04663",024 196 16 28,jdeisun@example.com
Аврамчук,Зорян,,Чоловік,2008-08-09,Ветеринар,село Південне ,"площа Лінія 51-ша, буд. 60 кв. 7, Херсон, 07172",564 90 24,jmykhailiuk@example.com
Зарудний,Юстим,,Чоловік,1999-11-22,Юрист,село Шумськ,"парк Кредитний, буд. 56, Берегове, 50624",+380 23 984-68-76,lradchenko@example.net
Прокопович,Алевтин,,Чоловік,2007-02-23,Диригент,село Мостиська,"вулиця 1-ша Лінія Марії Демченко, буд. 878, Перевальськ, 91039",+380 66 852 47 93,anastasiia87@example.com
Дзюба,Василь,,Чоловік,1986-08-20,Няня,село Лохвиця,"проспект Естафетна, буд. 115, Заліщики, 60865",008 844 50 68,liza41@example.net
Скиба,Захар,,Чоловік,2004-02-24,Гінеколог,хутір Бібрка,"сквер Купріна, буд. 459 кв. 66, Ківерці, 99070",+380 38 893-82-73,hovsiienko@example.org
Єсипенко,Зорян,,Чоловік,1980-10-23,Слідчий,село Зимогір'я,"проспект Аеропортівський 4-й, буд. 60, Путивль, 14577",+380 00 357-04-54,milenaovsiienko@example.org
Гузенко,Іван,,Чоловік,2003-03-17,Гінеколог,хутір Мелітополь,"вулиця Чернівецький, буд. 765, Лисичанськ, 42777",+380 (58) 031-64-64,qhrechko@example.com
Рубан,Василь,,Чоловік,1951-09-13,Графік,селище Приморськ (Україна),"проспект Шефська, буд. 72 кв. 6, Синельникове, 03926",+380 33 367-35-78,eduard53@example.com
Голобородько,Віталій,,Чоловік,1976-07-09,Адвокат,село Голубівка,"площа Академічна, буд. 33 кв. 7, Ананьїв, 73996",+380 36 970-53-92,vira90@example.com
Вдовиченко,Опанас,,Чоловік,2000-06-09,Різноробочий,хутір Первомайськ,"проспект Академіка Ясиновського, буд. 369 кв. 96, Молодогвардійськ, 31310",743 52 80,chmilhennadii@example.org
Сиротенко,Ярослав,,Чоловік,1966-01-12,Єгер,хутір Заліщики,"узвіз Житомирський 3-й, буд. 467 кв. 28, Шаргород, 90421",099 180 64 63,vpavlyk@example.net
Чумаченко,Арсен,,Чоловік,1970-02-15,Електротехнік,місто Звенигородка,"набережна Костанді, буд. 784 кв. 080, Боярка, 37706",003 887-08-35,ievtushenkoamaliia@example.com
Чалий,Пантелеймон,,Чоловік,1985-09-09,Археолог,хутір Святогірськ,"площа Аркадіївський, буд. 027 кв. 1, Миргород, 76630",011 564-98-64,chornovilbohuslav@example.org
Москаль,Охрім,,Чоловік,2003-10-15,Бухгалтер,хутір Прип'ять ,"площа Олександра Тимошенка, буд. 5, Стрий, 72570",028 508 35 79,anastasiiaiatsenko@example.com
Бабиченко,Петро,,Чоловік,1973-10-16,Астрофізик,хутір Кривий Ріг,"набережна Саксаганського, буд. 138 кв. 15, Ромни, 38836",+380 94 034-10-93,orynaazhazha@example.org
Ісаєнко,Олекса,,Чоловік,2002-03-04,Випробувач,село Кам'янка-Бузька,"провулок Колекційна, буд. 394 кв. 18, Березне, 65986",+380 (62) 780-49-64,erikaradchenko@example.net
Охримович,Олекса,,Чоловік,1981-02-19,Бухгалтер,хутір Снігурівка,"провулок Лобачевського, буд. 15 кв. 064, Погребище, 63229",544-07-60,ybazylevskyi@example.net
Дараган,Амвросій,,Чоловік,2004-07-06,Секретар,село Алупка,"парк Лазурний 2-й, буд. 9 кв. 6, Сєвєродонецьк, 77569",867 82 03,bevzenkomykolai@example.net
Короленко,Тимофій,,Чоловік,1970-09-05,Геофізик,хутір Рава-Руська,"сквер Добровольського, буд. 799 кв. 322, Бобринець, 13166",884 79 52,taras67@example.com
Остапчук,Георгій,,Чоловік,1969-08-20,Бухгалтер,село Калинівка ,"площа Кострова, буд. 07, Єнакієве, 02683",+380 58 636-53-56,stepan82@example.com
Височан,Аврелій,,Чоловік,1966-02-14,Промисловець,село Тлумач,"проспект Зернова, буд. 9 кв. 7, Дружківка, 74554",+380 06 066 16 12,khomariaboshapka@example.org
Бараник,Дан,,Чоловік,1977-02-08,Золотар,хутір Феодосія,"сквер 19-й км Старокиївської дороги, буд. 3, Коростишів, 75543",+380 27 080-55-29,kolodubsolomon@example.net
Акуленко,Остап,,Чоловік,1952-01-04,Паблік рилейшнз,місто Тячів,"площа Верещагіна, буд. 46, Снятин, 90798",026 429-13-10,olha08@example.org
Усик,Ігнат,,Чоловік,1993-05-28,Перекладач,хутір Курахове,"проспект Лазурний 4-й, буд. 1 кв. 27, Миргород, 85699",+380 30 458 39 92,furssvitlana@example.com
Фесенко,Миколай,,Чоловік,1963-06-07,Мінералог,хутір Березівка,"площа Чорноморський 12-й, буд. 94, Черкаси, 57267",+380 (91) 055-44-03,iustyna59@example.net
Швачка,Арсен,,Чоловік,1969-02-04,Маркетолог,селище Кобеляки,"узвіз Пироговський, буд. 68, Слов'янськ, 63724",057 885-51-03,vitaliimedvedenko@example.com
Ребрик,Дмитро,,Чоловік,1975-12-22,Менеджер,місто Каховка,"провулок Скляний 3-й, буд. 985 кв. 574, Гірське, 32837",+380 94 963-34-11,hisaievych@example.com
Ящук,Святослав,,Чоловік,1980-01-19,Драматург,селище Новогродівка,"парк Костанді, буд. 40 кв. 24, Золотоноша, 52370",185-56-04,rhrytsenko@example.org
Чабан,Йосип,,Чоловік,1984-08-29,Геолог,місто Василівка ,"провулок Зелена гірка, буд. 62, Гірник , 80309",+380 (14) 189-69-81,xlavrenko@example.com
Оробець,Ярослав,,Чоловік,1987-07-05,Льотчик,хутір Устилуг,"узвіз Розумовський 1-й, буд. 78, Помічна, 53224",515-09-08,martynhohol@example.net
Атаманчук,Вадим,,Чоловік,1967-04-15,Актор,село Первомайський ,"проспект Дунаєвського 2-й, буд. 043 кв. 8, Іллінці, 89652",082 235-31-37,konoplenkosemen@example.org
Левченко,Кирило,,Чоловік,2003-12-17,Етнограф,село Бердянськ,"вулиця Нафтовиків, буд. 798 кв. 0, Овруч, 17429",+380 55 810-27-85,marko09@example.com
Дуплій,Демʼян,,Чоловік,1981-09-19,Паралегал,місто Голубівка,"площа Степана Олійника узвіз, буд. 1 кв. 2, Бобровиця, 91855",+380 (79) 114-44-36,milenakhomenko@example.org
Габелко,Гліб,,Чоловік,1990-01-12,Філолог,село Ірпінь,"шосе Ризька, буд. 429 кв. 4, Хмельницький, 24893",228 62 56,myroslav05@example.org
